study	time	subjects	cafng	cafng_pm_se	cafng_se	caf	caf_sd	pxng	pxng_pm_se	pxng_se	px	px_sd	px_caf	px_caf_sd
Oh2012	0.00	13	0.00	NA	NA	0.000	NA	1.99	10.87	8.88	0.002	0.032	NA	NA
Oh2012	0.25	13	141.91	229.96	88.05	0.142	0.317	11.53	24.51	12.97	0.012	0.047	0.081	0.376
Oh2012	0.50	13	296.84	362.37	65.53	0.297	0.236	30.64	44.97	14.33	0.031	0.052	0.103	0.193
Oh2012	0.75	13	270.21	324.81	54.61	0.270	0.197	34.72	47.00	12.28	0.035	0.044	0.128	0.189
Oh2012	1.00	13	234.02	283.16	49.15	0.234	0.177	32.65	42.20	9.55	0.033	0.034	0.140	0.181
Oh2012	1.50	13	210.78	258.56	47.78	0.211	0.172	35.35	45.59	10.24	0.035	0.037	0.168	0.222
Oh2012	2.00	13	193.00	236.69	43.69	0.193	0.158	36.69	47.61	10.92	0.037	0.039	0.190	0.256
Oh2012	3.00	13	169.06	211.38	42.32	0.169	0.153	42.09	50.97	8.87	0.042	0.032	0.249	0.294
Oh2012	4.00	13	152.62	199.71	47.10	0.153	0.170	44.77	52.96	8.19	0.045	0.030	0.293	0.379
Oh2012	5.00	13	139.59	183.28	43.68	0.140	0.158	47.44	57.68	10.24	0.047	0.037	0.340	0.466
Oh2012	6.00	13	124.52	166.84	42.32	0.125	0.153	50.80	61.04	10.24	0.051	0.037	0.408	0.581
Oh2012	8.00	13	103.24	144.20	40.96	0.103	0.148	50.68	61.60	10.92	0.051	0.039	0.491	0.799
Oh2012	10.00	13	80.60	118.14	37.54	0.081	0.135	47.84	60.12	12.28	0.048	0.044	0.594	1.138
Oh2012	12.00	13	64.11	96.19	32.08	0.064	0.116	44.31	56.60	12.29	0.044	0.044	0.691	1.426

